dataset,handshape_cluster,cluster_label_proxy,count,dataset_total,percentage
ASL,2,neutral_proxy,3297,16780,19.648390941597143
ASL,3,neutral_proxy,3084,16780,18.37902264600715
ASL,5,closed_proxy,2611,16780,15.560190703218115
ASL,0,closed_proxy,1997,16780,11.901072705601907
ASL,6,closed_proxy,1675,16780,9.98212157330155
ASL,7,neutral_proxy,1536,16780,9.153754469606675
ASL,1,closed_proxy,1418,16780,8.450536352800954
ASL,4,curved_proxy,1162,16780,6.924910607866508
VSL,2,neutral_proxy,1926,7000,27.514285714285712
VSL,3,neutral_proxy,1641,7000,23.442857142857143
VSL,6,closed_proxy,1093,7000,15.614285714285714
VSL,5,closed_proxy,767,7000,10.957142857142857
VSL,4,curved_proxy,594,7000,8.485714285714286
VSL,1,closed_proxy,385,7000,5.5
VSL,0,closed_proxy,337,7000,4.814285714285714
VSL,7,neutral_proxy,257,7000,3.6714285714285713
