dataset,dominant_finger_direction,dominant_palm_orientation,count,dataset_total,percentage
ASL,backward,backward,43,16780,0.2562574493444577
ASL,backward,down,478,16780,2.8486293206197852
ASL,backward,forward,333,16780,1.9845053635280094
ASL,backward,left,24,16780,0.1430274135876043
ASL,backward,right,783,16780,4.66626936829559
ASL,backward,up,577,16780,3.4386174016686533
ASL,down,backward,480,16780,2.860548271752086
ASL,down,down,50,16780,0.29797377830750893
ASL,down,forward,148,16780,0.8820023837902264
ASL,down,left,16,16780,0.09535160905840286
ASL,down,right,68,16780,0.4052443384982122
ASL,down,up,254,16780,1.5137067938021453
ASL,forward,backward,68,16780,0.4052443384982122
ASL,forward,down,10,16780,0.05959475566150178
ASL,forward,forward,3,16780,0.017878426698450536
ASL,forward,left,2,16780,0.011918951132300357
ASL,forward,right,2,16780,0.011918951132300357
ASL,forward,up,22,16780,0.13110846245530394
ASL,left,backward,3132,16780,18.66507747318236
ASL,left,down,498,16780,2.967818831942789
ASL,left,forward,209,16780,1.2455303933253874
ASL,left,left,44,16780,0.2622169249106079
ASL,left,right,1682,16780,10.023837902264601
ASL,left,up,1457,16780,8.682955899880811
ASL,right,backward,40,16780,0.23837902264600713
ASL,right,down,53,16780,0.3158522050059595
ASL,right,forward,101,16780,0.601907032181168
ASL,right,left,4,16780,0.023837902264600714
ASL,right,right,41,16780,0.2443384982121573
ASL,right,up,10,16780,0.05959475566150178
ASL,up,backward,1790,16780,10.66746126340882
ASL,up,down,350,16780,2.0858164481525625
ASL,up,forward,1667,16780,9.934445768772349
ASL,up,left,6,16780,0.03575685339690107
ASL,up,right,2286,16780,13.62336114421931
ASL,up,up,49,16780,0.29201430274135876
VSL,backward,backward,12,7000,0.17142857142857143
VSL,backward,down,109,7000,1.5571428571428572
VSL,backward,forward,26,7000,0.37142857142857144
VSL,backward,left,6,7000,0.08571428571428572
VSL,backward,right,163,7000,2.3285714285714283
VSL,backward,up,108,7000,1.542857142857143
VSL,down,backward,1511,7000,21.585714285714285
VSL,down,down,75,7000,1.0714285714285714
VSL,down,forward,78,7000,1.1142857142857143
VSL,down,left,16,7000,0.2285714285714286
VSL,down,right,391,7000,5.585714285714285
VSL,down,up,654,7000,9.342857142857143
VSL,forward,backward,15,7000,0.2142857142857143
VSL,forward,right,1,7000,0.014285714285714287
VSL,forward,up,3,7000,0.04285714285714286
VSL,left,backward,784,7000,11.200000000000001
VSL,left,down,163,7000,2.3285714285714283
VSL,left,forward,39,7000,0.5571428571428572
VSL,left,left,11,7000,0.15714285714285714
VSL,left,right,445,7000,6.357142857142857
VSL,left,up,556,7000,7.942857142857143
VSL,right,backward,7,7000,0.1
VSL,right,down,15,7000,0.2142857142857143
VSL,right,forward,56,7000,0.8
VSL,right,left,1,7000,0.014285714285714287
VSL,right,right,14,7000,0.2
VSL,right,up,10,7000,0.14285714285714285
VSL,up,backward,515,7000,7.357142857142857
VSL,up,down,123,7000,1.7571428571428571
VSL,up,forward,403,7000,5.757142857142857
VSL,up,left,1,7000,0.014285714285714287
VSL,up,right,669,7000,9.557142857142857
VSL,up,up,20,7000,0.2857142857142857
