metric,dataset,count,mean,std,median,q1,q3,min,max
num_frames,ASL,1176,67.4124149659864,12.052216987093855,60.0,60.0,71.0,60.0,171.0
num_frames,VSL,455,97.15824175824176,26.69669307394476,91.0,79.0,108.0,60.0,295.0
hand_frame_missing_ratio,ASL,1176,0.029716447380536724,0.10790712255953447,0.0,0.0,0.016461748633879808,0.0,0.7166666666666667
hand_frame_missing_ratio,VSL,455,0.002794524395598507,0.021644125442842495,0.0,0.0,0.0,0.0,0.27989130434782605
hand_point_missing_ratio,ASL,1176,0.11249286330336981,0.1278495474892059,0.09285714285714286,0.06190476190476191,0.11982206861239118,0.0,0.8246031746031746
hand_point_missing_ratio,VSL,455,0.05677634632466919,0.04934415258338145,0.06734693877551018,0.003663833072401146,0.08950086058519796,0.0,0.38329297820823244
total_motion,ASL,1176,5.440198938152981,2.1598410154476686,5.15313973184675,3.8859750444535166,6.67357012629509,0.688310090219602,18.165291987359524
total_motion,VSL,455,9.899208308473373,3.5426783652693996,9.17066641477868,7.455180866643786,11.689280789345503,4.1292057428509,25.55782119324431
mean_motion,ASL,1176,0.08301736231434552,0.03187578913623606,0.07733015503132246,0.06185525491955138,0.09796299470483907,0.011666272715586474,0.3078863048705004
mean_motion,VSL,455,0.10429606449360217,0.02939072083026533,0.10007205006614742,0.0810160328208627,0.12646565480274696,0.04981816216304745,0.22916613802727726
max_motion,ASL,1176,0.7142357886420424,0.22642903855540925,0.7051567137241364,0.5936151295900345,0.8536096066236496,0.04665631428360939,2.074418306350708
max_motion,VSL,455,0.6729312194900199,0.16457365628208181,0.6805238127708435,0.5935837626457214,0.7740873396396637,0.23202820122241974,1.2426539659500122
motion_variance,ASL,1176,0.015683426506919104,0.01478400249285539,0.013184582814574242,0.009973258478567004,0.018367578741163015,0.00011709702084772289,0.33113282918930054
motion_variance,VSL,455,0.011843124052489197,0.005777821584300161,0.010814327746629715,0.007863013539463282,0.014602320734411478,0.00205400912091136,0.04158593714237213
mean_velocity,ASL,1176,2.3822014354223624,0.9674876097368841,2.2227514754917665,1.7454139165959115,2.8215756892073927,0.33773306416252913,9.227352338322138
mean_velocity,VSL,455,3.1196263882651403,0.8878297351771853,2.9991592640678086,2.402241553932904,3.7901756116012226,1.4930502846068943,6.868108993106418
max_velocity,ASL,1176,20.368737382649563,6.65038511130943,20.24398422241211,16.63097906112671,24.027040481567383,1.1186370849609375,62.17031478881836
max_velocity,VSL,455,20.102217764382836,4.896755348427355,20.387319564819336,17.77576732635498,23.08891773223877,6.953885078430176,37.242340087890625
velocity_std,ASL,1176,3.402969657590255,1.1145663790364306,3.305041281704498,2.854367704719645,3.8754339838714684,0.25944850137430786,17.24597912572618
velocity_std,VSL,455,3.161976292932059,0.7516485801640866,3.1133264708540205,2.649654260192759,3.6009928882002953,1.3582756770156537,6.111671282468895
mean_acceleration,ASL,1176,2.255131741214569,1.1115289699085418,1.9991384300178494,1.5776972439595158,2.6207604924666468,0.1903677562187458,11.900151060572986
mean_acceleration,VSL,455,1.8465186923263186,0.502525577222877,1.7583834178307478,1.4814521060841606,2.147009839589059,0.7910838365167766,3.645553023295295
max_acceleration,ASL,1176,18.918961288724223,6.531387696186526,18.719199180603027,15.207205295562744,22.43604326248169,0.8057737946510315,62.17031478881836
max_acceleration,VSL,455,17.63611593560858,5.390944023444812,18.410018920898438,15.245176315307617,21.068561553955078,3.8346023559570312,34.3386116027832
acceleration_std,ASL,1176,4.4922564730184025,1.60108045709608,4.326365375834598,3.623630528567383,5.110321212100116,0.2665216125051364,21.732908507956637
acceleration_std,VSL,455,3.7161465960477997,1.068811923680823,3.792099932124218,2.9705188357825763,4.44414639773002,1.124924336762362,7.188817360135156
trajectory_length,ASL,1176,5.440198938249498,2.15984101691885,5.153139720787294,3.8859750542906113,6.673570145852864,0.6883100815757643,18.16529209818691
trajectory_length,VSL,455,9.899208310658047,3.5426783665932566,9.170666349877138,7.455180831369944,11.689280783641152,4.129205746401567,25.557821218157187
displacement,ASL,1176,0.26009912348410186,0.20736675543736968,0.1922116233035922,0.10190507909283042,0.377165999263525,0.013632575049996376,1.2518856525421143
displacement,VSL,455,0.16122262058677253,0.12430393732435005,0.1176948994398117,0.07762226741760969,0.20595264993607998,0.007078945403918624,0.6828142255544662
straightness_ratio,ASL,1176,0.11948598580894618,0.10837757454457905,0.0846307719963883,0.046079149518713045,0.15685606899665966,0.008147771028664586,0.8954839456314044
straightness_ratio,VSL,455,0.03676658209892181,0.026721873459686303,0.0282983639788614,0.01787796988546785,0.04853531057259074,0.003758022694041248,0.17391243349162924
direction_change_count,ASL,1176,71.45578231292517,28.30371151655691,73.0,48.0,91.0,4.0,195.0
direction_change_count,VSL,455,128.85714285714286,36.72163521598181,121.0,103.0,147.0,63.0,331.0
trajectory_bbox_area,ASL,1176,0.27481428491681037,0.12894219113549046,0.2584568737074733,0.1729555856436491,0.3629796612658538,0.004395372001454234,0.9864331483840942
trajectory_bbox_area,VSL,455,0.3471625721911071,0.10906228296039487,0.3458597771823406,0.26447411940898746,0.42717726342380047,0.09368954226374626,0.6650438755750656
hand_face_dist_mean,ASL,0,,,,,,,
hand_face_dist_mean,VSL,0,,,,,,,
hand_face_dist_std,ASL,0,,,,,,,
hand_face_dist_std,VSL,0,,,,,,,
hand_body_dist_mean,ASL,0,,,,,,,
hand_body_dist_mean,VSL,0,,,,,,,
hand_body_dist_std,ASL,0,,,,,,,
hand_body_dist_std,VSL,0,,,,,,,
left_right_hand_dist_mean,ASL,1146,1.0541319052280065,0.5889710386318465,0.8585064254246593,0.7466407980809204,1.1182848695665597,0.29671518529454866,6.305176798502604
left_right_hand_dist_mean,VSL,455,1.1420592787759447,0.33869733927554924,1.075694128986477,0.8837296710759507,1.340033618106947,0.4684164931376775,2.42286200788286
left_right_hand_dist_std,ASL,1146,0.21706283334399093,0.07980744159679086,0.21969192573787913,0.1643917391049432,0.26877824975504483,0.0,0.6718629270345791
left_right_hand_dist_std,VSL,455,0.2060940975162784,0.06469032862551066,0.21065370732863611,0.16032382157850072,0.25242111771062825,0.05329275461497422,0.43809508666707875
